, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),São Paulo - Consumo de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),São Paulo - Produção de Cimento (t),São Paulo - value,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado,São Paulo - Desemprego,São Paulo - IDH
2003-1,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,782.111,1.249378577026813,836.4869332595032,1254.2257179831606,13.47049269744813,11.219632056451612,87.91895729213994,1.5873879533923976,437.97272,0.3149737957153884,1034902942.4423203,47309401.212131776,23.895558977974,981912876.2041788,8.3103353115485,0.8127229349041307
2003-2,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,789.891,1.114976353189777,836.9812358492351,1268.256958481173,13.555237889027714,10.140962701612905,82.53912615477813,1.9578411564819025,434.36372,0.3173276165787322,1036091709.0028114,47329937.45574318,23.901471823030963,982266609.3742543,8.304194156096585,0.8128380640496393
2003-3,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,774.309,0.9461943551038604,837.3442566825685,1270.9507066093026,13.460122148286972,9.53737473864994,80.04271411774108,2.0689175453707915,433.3508681481481,0.3198395024930355,1037280475.5633024,47350473.69935459,23.90738466808792,982620342.54433,8.29805300064467,0.8129531931951479
2003-4,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,782.071,0.8573948835225371,837.8599874921573,1261.7074757150906,13.181964222236044,8.663709224057007,77.17162738227452,2.1774063816140576,431.8253324338624,0.3221039848566591,1038469242.1237936,47371009.94296599,23.913297513144883,982974075.7144054,8.291911845192756,0.8130683223406565
2003-5,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,841.4,0.6881848165063282,838.0947441957815,1264.7294389206802,12.67035612425406,7.87268933402214,75.72122211421798,2.092594035635988,433.28729795110377,0.3243195046741149,1039658008.6842848,47391546.1865774,23.919210358201845,983327808.884481,8.28577068974084,0.8131834514861651
2003-6,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,757.875,0.6900717398372641,838.1288685383366,1288.4583408897377,12.588303036888275,7.828840693695553,75.87707552399958,1.9963620002924805,433.6068646177704,0.3264888650655863,1040846775.2447758,47412082.4301888,23.925123203258803,983681542.0545564,8.279629534288926,0.8132985806316737
2003-7,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,857.128,0.8896244309408152,837.9545936191146,1314.5334935917758,12.792577854051496,7.800224591011337,74.92589430656288,2.0360746874011086,434.8108968758349,0.3286106475345176,1042035541.8052669,47432618.6738002,23.931036048315764,984035275.224632,8.273488378837012,0.8134137097771823
2003-8,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,785.016,1.0657772714483482,837.2417038901956,1338.7727353793273,13.329073925877664,8.53654898291111,75.83285947393435,2.104914783312316,436.54736562583497,0.3304835677786578,1043224308.3657578,47453154.91741161,23.93694889337273,984389008.3947076,8.267347223385096,0.8135288389226909
2003-9,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,827.22,1.2665595647091508,836.7536255516096,1353.4493608526736,14.27615265944294,9.809688686976662,77.23868862056047,2.1643841835179964,436.5187898682592,0.3321023112288702,1044413074.9262488,47473691.16102301,23.942861738429684,984742741.5647832,8.261206067933182,0.8136439680681995
2003-10,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,853.721,1.4045674629726568,836.0718944106485,1340.689878454549,14.540954589649164,10.725811813000949,80.28895874546599,1.9964032255660864,438.5212310447298,0.3338781482634106,1045601841.48674,47494227.404634416,23.94877458348665,985096474.7348586,8.255064912481267,0.8137590972137081
