,Sergipe - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Sergipe - value,Sergipe - Produção de Cimento (t),Sergipe - Consumo de Cimento (t),Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado,Sergipe - Desemprego
2003-1,0.6692166755851026,0.7240323223220154,-5331.049150116268,11.520142924731228,1.6114984011933968,1.0365342950716354,177206913.03714657,7330309.193826131,0.9696488878423896,1.1543401150373636,1013.0902986841836,2716.496978709073,26.501337005319947,23.8898413846282,80.36659695276872,3.55274558685396,0.3394465744328312,152.79139999999998,23.616,21597319.77433002,1260978.4155712095,9.960678449257069,20296420.93570137,8.389943455815388
2003-2,0.6695422823494777,0.6902970479188117,-5318.079644051534,11.189861881849811,1.4503889427633918,0.9934494214635804,177388401.60938227,7335910.173263511,0.9507826970690516,1.155151772595239,1013.092341240843,2716.496978709073,26.5021254286155,23.87933613824898,80.33471143161437,3.551254067545041,0.3412565698336461,151.96405384615386,21.357,21621529.070432056,1262133.5738742463,9.96195630396772,20302377.830214508,8.38406672399717
2003-3,0.6698678891138528,0.6696806488591152,-5436.417870121553,10.82079163233486,1.870184311511264,0.9730199952886446,177569890.18161798,7341511.152700892,0.9383319190618296,1.1556252395039996,1013.0935327322276,2716.496978709073,26.50258534220457,23.8732080778611,80.31611154427434,3.550384014614837,0.3430157185042387,154.46775754985757,20.059,21645738.36653409,1263288.732177283,9.963234158678372,20308334.72472765,8.378189992178955
2003-4,0.6701934958782279,0.6604937853917251,-5707.015273535643,10.417840426092068,1.3552874765398468,0.940488752580393,177751378.75385368,7347112.132138272,0.9264010581332036,1.1556759681013669,1013.0936603920188,2716.496978709073,26.502634618660537,23.8725514999624,80.3141186992022,3.5502907946580304,0.3447222422960111,155.9134004070004,19.92,21669947.662636127,1264443.890480319,9.964512013389022,20314291.61924078,8.372313260360738
2003-5,0.6705191026426028,0.6483369045565663,-5599.317940972945,9.959689613256948,1.5855384957135032,0.9174932274418915,177932867.32608938,7352713.111575652,0.9516834453474324,1.1951565908983803,1012.7975430600326,2575.798720233972,26.636933868091997,23.787977029250477,79.8462914836999,3.554977400816516,0.3461744930944994,157.4671590276901,19.962,21694156.958738163,1265599.0487833556,9.965789868099677,20320248.51375392,8.36643652854252
2003-6,0.6708447094069779,0.6327588982490451,-5720.383331634745,9.432414860416127,1.7078914536714904,0.9127593777790712,178114355.8983251,7358314.091013032,0.9096671663294,1.2319347304728074,1012.5419433387908,2432.4416730875123,26.76678355619873,23.69902680939737,79.35521503096602,3.5517554790314536,0.3475707925367937,156.62725902769003,16.202,21718366.2548402,1266754.2070863922,9.967067722810327,20326205.40826705,8.360559796724305
2003-7,0.671170316171353,0.6380135035998685,-5884.375046061743,8.822929754380787,1.5982839320937383,0.9100665913481976,178295844.4705608,7363915.070450412,0.8904414926874215,1.2759073076681997,1012.269576311316,2261.6567197907984,26.910108194393388,23.583632589439105,78.76673259355483,3.543245988204544,0.3489135949262786,155.93809773736749,20.057,21742575.550942235,1267909.3653894286,9.968345577520978,20332162.30278019,8.354683064906087
2003-8,0.6714959229357281,0.6346344548960355,-5959.855464930735,8.332469749880811,1.7218082520903182,0.8898926477529421,178477333.0427965,7369516.049887793,0.8702308928724296,1.3251643891825045,1012.01061608177,2072.6815673416004,27.05294664079662,23.44181844886892,78.1096288719943,3.5276977823555478,0.3502013269448757,156.07594148736746,19.484,21766784.847044267,1269064.523692465,9.969623432231629,20338119.197293326,8.34880633308787
2003-9,0.6718215297001032,0.6323269495840285,-6014.809970017429,7.939983702859978,1.6351282376087797,0.8665147784673063,178658821.6150322,7375117.029325173,0.844478552685211,1.377796041713669,1011.7952367543152,1874.753922737687,27.18133775352908,23.27360846718006,77.41268856681234,3.503359715504222,0.3514323890976205,156.0785172449432,21.679,21790994.143146303,1270219.6819955015,9.97090128694228,20344076.091806464,8.342929601269654
2003-10,0.6721471364644782,0.629038170305887,-6121.266757398654,7.604976000172705,1.8119435424411887,0.8493838484375612,178840310.1872679,7380718.008762553,0.8421829305905358,1.4318923319596402,1011.6536124331138,1677.111492976829,27.28132039071143,23.07902672386578,76.70469637853687,3.4684806416703284,0.3526094054918692,156.40257606847263,20.556,21815203.43924834,1271374.840298538,9.972179141652934,20350032.9863196,8.337052869451437
2003-11,0.6724727432288533,0.6315074373857803,-6097.745583517717,7.313008932848318,1.6375042967189617,0.8382390949358776,179021798.7595036,7386318.988199934,0.8327971802717965,1.4855433266183655,1011.615917222328,1488.9919850567958,27.338933410464325,22.858097298419324,76.01443700769583,3.421309414873625,0.3537308105653149,157.00406178275838,19.39,21839412.73535037,1272529.9986015745,9.973456996363584,20355989.88083274,8.33117613763322
2003-12,0.6727983499932284,0.6292469617617195,-6082.10009002275,7.034262103245153,1.7623760541706297,0.8211746264022252,179203287.3317393,7391919.967637314,0.8169855326871092,1.5368390923877926,1011.71232522612,1319.6331059753577,27.340215670908425,22.61084427033393,75.37069515481717,3.3600948891338724,0.3547992585324363,157.40775622720284,23.029,21863622.03145241,1273685.1569046108,9.974734851074237,20361946.775345877,8.325299405815004
2004-1,0.6731239567576035,0.6279521987366027,-6360.043009879893,6.775421109777445,1.3607725559131063,0.8146624868021721,179384775.903975,7397520.947074695,0.8183674345886709,1.6232405926610876,1011.8434105410332,1192.1603713768118,27.218574245303422,22.30329922908169,75.0200936997899,3.3242882330676062,0.3558132964961271,157.19340487585146,19.642,21887831.32755445,1274840.3152076474,9.976012705784887,20367903.66985901,8.319422673996787
2004-2,0.673416024724331,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2915557727587674,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,1.581457504425794,1012.4731014012484,1066.113524529965,27.16040220229267,22.07011374521073,74.21417972129527,3.161398448121369,0.356571612241246,157.8517732969041,17.778,21909345.175166283,1275216.823321673,9.976733566100645,20371641.114819024,8.317314123112704
2004-3,0.6737080926910586,0.6110282002564377,-6382.974247910342,6.304693993612522,1.3153702879685611,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,1.64998959414376,1013.2845489587196,990.4260245299648,26.916656991564697,21.722526340996165,73.71881334198493,3.033585549015367,0.3572727872885794,158.5748245789554,21.18,21930859.02277812,1275593.3314356988,9.9774544264164,20375378.55977904,8.31520557222862
2004-4,0.674000160657786,0.602215193421453,-6659.524121320398,6.092845857236326,1.2716511611761512,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,1.694462383259406,1013.9353746115612,1033.6756039813106,26.461491860996343,21.346028645143637,74.03889782739199,2.969799066680497,0.3579152913780589,159.63159957895536,18.824,21952372.87038996,1275969.8395497245,9.978175286732156,20379116.00473905,8.313097021344536
2004-5,0.6742922286245135,0.5930166849467975,-6639.092352241397,5.906435456003245,1.3496753218264288,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,1.699268665415379,1014.9609745735056,1042.748247100635,25.90508102626942,20.88516600156006,74.43140107961985,2.886903852946753,0.3584975617266936,161.6146727496871,16.535,21973886.718001798,1276346.3476637502,9.978896147047912,20382853.449699063,8.310988470460453
2004-6,0.6745842965912411,0.574475450988554,-6748.885395968077,5.749095649630231,1.5103056439741145,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,1.615919743242379,1015.640110065088,1035.4087246391798,25.57002906359125,20.46270546880095,73.96027896439841,2.938392144265894,0.3590180022603474,161.26676798778232,16.196,21995400.56561363,1276722.855777776,9.979617007363668,20386590.89465908,8.30887991957637
2004-7,0.6748763645579685,0.5593363966337657,-6784.497815846861,5.627047610968012,1.3540905935347418,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,1.4449655442055562,1015.4944192938008,1094.7920757370332,25.449009252068155,20.363928255107933,74.02719532827622,3.1829254469156103,0.3594749828184512,160.75134938313116,17.425,22016914.413225465,1277099.363891801,9.980337867679424,20390328.33961909,8.306771368692285
2004-8,0.675168432524696,0.5366506165950669,-6905.605509166634,5.503636763429107,1.434760472048315,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,1.3263469481502443,1015.1540252033476,1174.4597562259455,25.628251367843387,20.48461642263484,73.74517280024074,3.398560884747457,0.3596626700081439,161.11675847404024,17.576,22038428.2608373,1277475.872005827,9.98105872799518,20394065.784579106,8.304662817808202
2004-9,0.6754605004914236,0.521373108360619,-6995.222858870797,5.379865840264738,1.2837775896757788,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,1.19957863867788,1014.3812870444772,1251.6581952584995,26.022815256885448,20.71767923240435,73.02934064973034,3.68730374796937,0.3595751043848179,161.98531402959583,19.227,22059942.10844914,1277852.3801198527,9.981779588310935,20397803.229539115,8.302554266924119
2004-10,0.6757525684581511,0.5156158255655208,-7120.238857990881,5.253056293059425,1.1406245002546846,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,1.1002503317936976,1013.4432831413792,1362.3173570118502,26.414350317269005,21.166291715786507,73.35626049622682,3.9052118188517406,0.3594102791483489,162.57779229046537,17.655,22081455.956060976,1278228.8882338784,9.982500448626691,20401540.674499128,8.300445716040036
2004-11,0.6760446364248787,0.5071034898207396,-7055.497216121851,5.122595130555095,1.2854603148119332,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,1.0917599453538709,1012.7604585149304,1409.2000758541042,26.7672866313892,21.612685557766262,73.83583577587042,3.881607471831864,0.358966392088242,162.67789867344408,19.516,22102969.803672813,1278605.396347904,9.98322130894245,20405278.11945914,8.298337165155953
2004-12,0.6763367043916061,0.4969515420076215,-6921.044658255659,4.995239879121229,1.2322302066002024,0.5059456433043616,181293822.79427427,7457466.109898502,0.6553570801963157,0.9591036068716896,1012.3195192005074,1320.5204568606755,27.14950864292493,22.007848147987293,73.95133499256303,3.841980614584834,0.3584416046964975,163.64987784011075,20.509,22124483.65128465,1278981.9044619298,9.983942169258206,20409015.564419158,8.296228614271868
2005-1,0.6766287723583336,0.483143045759377,-7202.757774714469,4.860078219431911,1.4183908253341642,0.4921828904516431,181467372.5115742,7462915.670155211,0.6473973428202994,0.910278806129794,1012.1048494086654,1257.9689819938746,27.303885859875784,22.26828510520574,74.49257868004399,3.6053349903071656,0.3578467910365708,165.2498370237842,18.244,22145997.498896487,1279358.4125759555,9.984663029573962,20412753.009379167,8.294120063387785
2005-2,0.6768880282153367,0.4753697952172824,-7128.700399706268,4.725791184629883,1.4238954789241105,0.479032861785929,181632962.2895496,7468228.679464037,0.6298003725137261,0.8215982264872095,1012.267552039783,1195.3541390475257,27.291532642460165,22.36298231751909,74.97489832842341,3.394436687611857,0.3574059791305246,166.28453982018797,18.161,22166186.19092583,1280380.1573399303,9.98581596919452,20416699.435521595,8.28664462573672
2005-3,0.6771472840723398,0.4664937288356185,-7221.778170229833,4.596932598972333,1.3369199083017531,0.4648610952618953,181798552.067525,7473541.688772862,0.6197803250738215,0.8229993381473321,1012.8310165059185,1144.8989167454667,27.07701308168345,22.173142342154986,75.0735271624616,3.1858378851042373,0.3569192323814813,168.68940688088256,23.259,22186374.88295517,1281401.902103905,9.986968908815076,20420645.86166402,8.279169188085653
2005-4,0.6774065399293429,0.4550001182228941,-7427.695727374902,4.479302822781261,1.5033990992305697,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,0.8983475254635636,1013.7451589781198,1150.932919206732,26.49616886172115,21.76730111336481,75.81678963834572,2.9537007517068554,0.3563866510320373,169.15825686723,19.137,22206563.57498452,1282423.64686788,9.988121848435632,20424592.287806448,8.271693750434588
