Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Year
2003,15.481026906139329,1012.3972169564216,2214.0880918364037,26.876438489991212,23.48741406145464,78.57599364299473,3.511299647938498,2003.167591818271
2004,16.986343498200743,1013.8075427124667,1164.4567010921646,26.388621404866495,21.26190739687337,73.94406705644899,3.35099643991653,2004.0784742468416
2005,12.33102934993628,1013.6835922914655,7371.125162583292,26.517435522505952,21.558673375653935,74.6855109645629,3.4756394813043285,2005.0006759621283
2006,12.451426386750988,1012.9146294172347,13250.197090048669,27.22446772294747,22.72385358964146,76.86687800768503,3.386349774865558,2006.000005723684
2007,14.295663798712239,1013.4792889609568,1813.57848548977,25.81582344762634,23.544337464759106,80.52152936039639,3.43974071574288,2007.0000000484597
2008,15.15689373819603,1013.1236405503956,1486.2455850612398,26.65318659797785,24.641883117919793,72.37131919001902,3.333224360350412,2008.0000000004102
2009,8.179672295227652,1013.0821423928206,1571.9278063435358,26.874371834739875,23.981376614022384,84.02121918258077,3.213172152072268,2009.0000000000036
2010,17.062389345828443,1013.1709424008267,1395.4052247275356,27.000769275132072,22.76817417580082,77.98636820844794,3.603986179198719,2010.0
2011,19.427096890421023,1013.355861640568,1285.5884933635095,26.585396939254252,20.717126006439475,69.89131384330177,3.0373920286558587,2011.0
2012,18.09925010632584,1014.287992614964,1379.5798750960148,26.514404875587562,17.955845450659144,64.02381963305872,3.135196176096581,2012.0
2013,25.064224686496786,1013.9362454420658,1385.1023606427725,26.734812834589363,20.55922579239235,72.25506252137426,2.979612827977219,2013.0
2014,20.79954494132057,1014.450610720129,1348.523680332553,26.678102307016758,16.988183393087024,64.39045560583475,2.939131356223021,2014.0
2015,21.15839520642806,1014.4908640438542,1365.375631045117,26.83646789282176,20.271008241852446,68.17599613370433,2.7649431293737927,2015.0
2016,15.646599029194725,1014.5684297153404,1420.9857271668518,26.99997345126097,19.676048242884622,64.8040354605952,1.1421239324666026,2016.0
2017,19.439125572301894,1014.3669139963835,1367.2474837095351,26.651199195026607,19.706393258020096,66.27972637968092,1.1892762159924555,2017.0
2018,14.958343591170404,1014.208497137579,1407.4517779863143,26.80320866725492,19.82250043993906,66.22727653557156,2.6472888847839413,2018.0
2019,22.044718095156828,1014.1108611238518,1152.9829372219117,27.066870866399444,19.834032696028135,64.35813053107195,2.550957659584263,2019.0
2020,18.258303275820243,1013.8730748138536,1342.9290384417566,26.877440232212592,18.697907151168888,61.63254540356485,2.4458126739598005,2020.0
2021,19.99290130338556,1014.3261861773436,1357.2697434122576,26.911205168979,12.347938720014126,52.77140286522035,2.4778242390154,2021.0
2022,20.515881731232334,1016.5404323536619,1626.7212869793113,26.7129431314971,17.324062098719335,58.57821594832175,2.344815641517737,2021.9208440184723
