,Paraná - Consumo de Cimento (t)
2003-1,189.804
2003-2,174.713
2003-3,180.801
2003-4,180.172
2003-5,185.597
2003-6,169.008
2003-7,191.857
2003-8,180.591
2003-9,176.074
2003-10,191.866
2003-11,172.099
2003-12,165.917
2004-1,185.712
2004-2,170.875
2004-3,204.477
2004-4,173.662
2004-5,162.633
2004-6,190.965
2004-7,193.647
2004-8,214.935
2004-9,197.495
2004-10,184.957
2004-11,197.165
2004-12,183.387
2005-1,172.044
2005-2,188.841
2005-3,200.253
2005-4,188.916
2005-5,184.994
2005-6,192.629
2005-7,184.723
2005-8,203.175
2005-9,169.242
2005-10,166.786
2005-11,196.534
2005-12,177.285
2006-1,184.04
2006-2,154.356
2006-3,196.251
2006-4,162.619
2006-5,197.991
2006-6,183.933
2006-7,188.029
2006-8,201.402
2006-9,179.982
2006-10,192.452
2006-11,193.306
2006-12,169.285
2007-1,168.549
2007-2,160.048
2007-3,193.273
2007-4,172.94
2007-5,184.252
2007-6,188.1
2007-7,193.222
2007-8,230.158
2007-9,217.347
2007-10,244.665
2007-11,235.989
2007-12,194.177
2008-1,237.02
2008-2,230.336
2008-3,227.151
2008-4,244.623
2008-5,247.408
2008-6,246.127
2008-7,287.988
2008-8,248.671
2008-9,270.025
2008-10,278.202
2008-11,248.402
2008-12,235.568
2009-1,233.383
2009-2,217.548
2009-3,268.149
2009-4,255.275
2009-5,246.5
2009-6,248.216
2009-7,255.05
2009-8,275.936
2009-9,269.3
2009-10,277.768
2009-11,286.531
2009-12,258.412
2010-1,255.093
2010-2,252.359
2010-3,331.161
2010-4,296.522
2010-5,313.794
2010-6,321.068
2010-7,338.081
2010-8,349.058
2010-9,341.011
2010-10,326.66
2010-11,333.032
2010-12,291.609
2011-1,313.591
2011-2,308.435
2011-3,354.219
2011-4,321.241
2011-5,369.826
2011-6,366.169
2011-7,343.894
2011-8,355.596
2011-9,367.288
2011-10,365.427
2011-11,367.294
2011-12,341.962
2012-1,357.265
2012-2,353.838
2012-3,398.92
2012-4,349.449
2012-5,403.551
2012-6,319.23
2012-7,394.116
2012-8,444.552
2012-9,379.035
2012-10,396.572
2012-11,395.809
2012-12,330.632
2013-1,377.297
2013-2,339.283
2013-3,353.113
2013-4,417.807
2013-5,390.998
2013-6,321.551
2013-7,410.332
2013-8,428.494
2013-9,410.278
2013-10,404.608
2013-11,403.326
2013-12,321.629
2014-1,365.083
2014-2,369.836
2014-3,368.17314285714286
2014-4,366.5102857142857
2014-5,364.8474285714286
2014-6,363.1845714285714
2014-7,361.5217142857143
2014-8,359.8588571428571
2014-9,358.196
2014-10,356.5331428571429
2014-11,354.8702857142857
2014-12,353.2074285714286
2015-1,351.54457142857143
2015-2,349.88171428571434
2015-3,348.21885714285713
2015-4,346.55600000000004
2015-5,344.8931428571429
2015-6,343.23028571428574
2015-7,341.5674285714286
2015-8,339.90457142857144
2015-9,338.2417142857143
2015-10,336.57885714285715
2015-11,334.916
2015-12,333.2531428571429
2016-1,331.59028571428576
2016-2,329.9274285714286
2016-3,328.26457142857146
2016-4,326.6017142857143
2016-5,324.93885714285716
2016-6,323.276
2016-7,321.61314285714286
2016-8,319.9502857142857
2016-9,318.2874285714286
2016-10,316.62457142857147
2016-11,314.9617142857143
2016-12,313.2988571428572
2017-1,311.636
2017-2,280.736
2017-3,352.332
2017-4,280.856
2017-5,319.397
2017-6,295.932
2017-7,354.558
2017-8,360.106
2017-9,350.123
2017-10,288.254
2017-11,301.687
2017-12,268.901
2018-1,274.431
2018-2,298.219
2018-3,328.955
2018-4,335.039
2018-5,260.723
2018-6,366.929
2018-7,353.426
2018-8,344.937
2018-9,302.082
2018-10,294.467
2018-11,336.029
2018-12,278.117
2019-1,323.005
2019-2,291.453
2019-3,300.203
2019-4,317.058
2019-5,314.142
2019-6,301.878
2019-7,358.797
2019-8,356.169
2019-9,316.188
2019-10,346.214
2019-11,323.401
2019-12,238.466
2020-1,326.322
2020-2,308.878
2020-3,321.35
2020-4,293.106
2020-5,335.482
2020-6,346.429
2020-7,403.897
2020-8,385.013
2020-9,385.153
2020-10,437.527
2020-11,380.827
2020-12,311.548
2021-1,318.454
2021-2,369.143
2021-3,429.394
2021-4,417.032
2021-5,427.578
2021-6,388.003
2021-7,448.292
2021-8,422.14
2021-9,424.552
2021-10,359.471
2021-11,415.422
2021-12,364.932
2022-1,349.837
2022-2,368.731
2022-3,400.287
2022-4,365.578
2022-5,404.482
2022-6,366.06
2022-7,427.076
2022-8,412.177
2022-9,337.056
2022-10,340.018
2022-11,383.477
2022-12,383.477
