,Piauí - Consumo de Cimento (t)
2003-1,21.844
2003-2,15.814
2003-3,16.067
2003-4,14.938
2003-5,17.765
2003-6,17.561
2003-7,21.26
2003-8,20.367
2003-9,21.737
2003-10,23.881
2003-11,23.709
2003-12,23.943
2004-1,18.413
2004-2,16.605
2004-3,22.084
2004-4,22.445
2004-5,23.323
2004-6,25.466
2004-7,29.923
2004-8,25.773
2004-9,24.03
2004-10,21.724
2004-11,23.003
2004-12,23.922
2005-1,19.758
2005-2,19.763
2005-3,22.445
2005-4,20.109
2005-5,24.283
2005-6,24.792
2005-7,26.903
2005-8,25.702
2005-9,19.939
2005-10,21.902
2005-11,21.556
2005-12,25.612
2006-1,25.712
2006-2,19.537
2006-3,24.866
2006-4,17.565
2006-5,25.566
2006-6,26.943
2006-7,28.877
2006-8,31.146
2006-9,29.297
2006-10,33.556
2006-11,35.439
2006-12,34.674
2007-1,32.273
2007-2,22.327
2007-3,29.21
2007-4,23.381
2007-5,29.926
2007-6,29.326
2007-7,33.838
2007-8,35.39
2007-9,32.22
2007-10,39.538
2007-11,39.438
2007-12,39.718
2008-1,36.406
2008-2,28.712
2008-3,25.752
2008-4,28.851
2008-5,31.584
2008-6,33.405
2008-7,44.769
2008-8,43.518
2008-9,44.536
2008-10,44.828
2008-11,43.051
2008-12,43.664
2009-1,41.765
2009-2,31.952
2009-3,35.917
2009-4,29.951
2009-5,33.25
2009-6,44.45
2009-7,52.255
2009-8,54.205
2009-9,54.034
2009-10,53.04
2009-11,54.494
2009-12,51.453
2010-1,50.932
2010-2,45.143
2010-3,50.48
2010-4,43.785
2010-5,51.401
2010-6,48.648
2010-7,62.497
2010-8,57.589
2010-9,55.384
2010-10,57.195
2010-11,58.307
2010-12,58.174
2011-1,59.203
2011-2,40.233
2011-3,46.096
2011-4,38.262
2011-5,47.216
2011-6,55.116
2011-7,57.93
2011-8,58.394
2011-9,58.087
2011-10,54.599
2011-11,55.044
2011-12,54.842
2012-1,49.244
2012-2,56.201
2012-3,53.705
2012-4,45.347
2012-5,57.492
2012-6,55.951
2012-7,59.477
2012-8,61.611
2012-9,57.841
2012-10,68.449
2012-11,62.092
2012-12,60.126
2013-1,59.03
2013-2,48.789
2013-3,52.454
2013-4,56.163
2013-5,63.68
2013-6,63.422
2013-7,70.735
2013-8,72.838
2013-9,74.408
2013-10,72.485
2013-11,69.97
2013-12,74.805
2014-1,68.954
2014-2,60.775
2014-3,61.106542857142855
2014-4,61.43808571428571
2014-5,61.76962857142857
2014-6,62.101171428571426
2014-7,62.43271428571429
2014-8,62.76425714285715
2014-9,63.095800000000004
2014-10,63.42734285714286
2014-11,63.75888571428572
2014-12,64.09042857142857
2015-1,64.42197142857142
2015-2,64.75351428571429
2015-3,65.08505714285715
2015-4,65.4166
2015-5,65.74814285714285
2015-6,66.07968571428572
2015-7,66.41122857142858
2015-8,66.74277142857143
2015-9,67.07431428571428
2015-10,67.40585714285714
2015-11,67.73740000000001
2015-12,68.06894285714286
2016-1,68.40048571428572
2016-2,68.73202857142857
2016-3,69.06357142857144
2016-4,69.3951142857143
2016-5,69.72665714285715
2016-6,70.0582
2016-7,70.38974285714286
2016-8,70.72128571428573
2016-9,71.05282857142858
2016-10,71.38437142857143
2016-11,71.71591428571429
2016-12,72.04745714285716
2017-1,72.379
2017-2,54.656
2017-3,69.984
2017-4,58.643
2017-5,72.337
2017-6,70.968
2017-7,75.913
2017-8,74.774
2017-9,72.484
2017-10,71.534
2017-11,70.32
2017-12,67.364
2018-1,59.688
2018-2,40.259
2018-3,41.239
2018-4,45.035
2018-5,42.477
2018-6,57.619
2018-7,53.109
2018-8,63.141
2018-9,55.58
2018-10,60.001
2018-11,62.767
2018-12,45.308
2019-1,57.142
2019-2,46.283
2019-3,43.39
2019-4,40.824
2019-5,55.063
2019-6,56.474
2019-7,68.133
2019-8,68.642
2019-9,64.741
2019-10,71.269
2019-11,67.631
2019-12,62.845
2020-1,60.582
2020-2,50.927
2020-3,40.973
2020-4,37.582
2020-5,64.176
2020-6,69.606
2020-7,81.248
2020-8,77.652
2020-9,84.626
2020-10,78.907
2020-11,70.813
2020-12,71.072
2021-1,67.343
2021-2,53.335
2021-3,62.799
2021-4,61.534
2021-5,68.772
2021-6,71.164
2021-7,78.2
2021-8,75.435
2021-9,71.709
2021-10,72.067
2021-11,74.51
2021-12,69.5
2022-1,54.066
2022-2,58.487
2022-3,64.578
2022-4,54.13
2022-5,67.38
2022-6,68.711
2022-7,73.091
2022-8,77.776
2022-9,72.377
2022-10,71.791
2022-11,71.015
2022-12,71.015
