,Pernambuco - Consumo de Cimento (t)
2003-1,99.743
2003-2,86.997
2003-3,83.033
2003-4,82.302
2003-5,80.217
2003-6,67.24
2003-7,83.181
2003-8,82.075
2003-9,85.846
2003-10,90.177
2003-11,86.905
2003-12,86.156
2004-1,76.341
2004-2,65.04
2004-3,88.306
2004-4,74.323
2004-5,78.114
2004-6,69.976
2004-7,84.203
2004-8,80.313
2004-9,87.563
2004-10,80.64
2004-11,78.585
2004-12,87.633
2005-1,84.896
2005-2,81.24
2005-3,100.925
2005-4,83.152
2005-5,81.128
2005-6,64.348
2005-7,81.509
2005-8,65.4
2005-9,73.556
2005-10,82.506
2005-11,79.647
2005-12,101.349
2006-1,106.786
2006-2,94.145
2006-3,116.66
2006-4,83.93
2006-5,100.055
2006-6,85.454
2006-7,88.345
2006-8,103.376
2006-9,104.198
2006-10,101.954
2006-11,104.742
2006-12,103.693
2007-1,116.887
2007-2,92.475
2007-3,105.918
2007-4,92.821
2007-5,103.828
2007-6,93.844
2007-7,107.275
2007-8,114.591
2007-9,108.729
2007-10,129.513
2007-11,129.76
2007-12,124.946
2008-1,138.629
2008-2,125.365
2008-3,131.963
2008-4,141.156
2008-5,135.009
2008-6,112.269
2008-7,140.272
2008-8,139.433
2008-9,161.268
2008-10,170.072
2008-11,158.634
2008-12,163.083
2009-1,157.457
2009-2,128.977
2009-3,159.122
2009-4,139.26
2009-5,141.445
2009-6,135.358
2009-7,161.457
2009-8,161.217
2009-9,169.015
2009-10,176.694
2009-11,177.916
2009-12,171.02
2010-1,171.6
2010-2,152.381
2010-3,195.572
2010-4,171.479
2010-5,174.31
2010-6,175.701
2010-7,203.87
2010-8,211.944
2010-9,214.065
2010-10,223.199
2010-11,243.761
2010-12,269.049
2011-1,214.807
2011-2,177.932
2011-3,195.635
2011-4,174.575
2011-5,204.844
2011-6,197.308
2011-7,187.852
2011-8,231.788
2011-9,247.553
2011-10,215.441
2011-11,242.116
2011-12,206.262
2012-1,223.244
2012-2,201.89
2012-3,259.377
2012-4,228.092
2012-5,244.391
2012-6,199.66
2012-7,214.103
2012-8,242.041
2012-9,213.905
2012-10,244.302
2012-11,237.46
2012-12,219.765
2013-1,248.815
2013-2,219.363
2013-3,251.351
2013-4,254.15
2013-5,242.668
2013-6,205.044
2013-7,239.702
2013-8,256.306
2013-9,272.593
2013-10,282.662
2013-11,265.25
2013-12,244.117
2014-1,285.237
2014-2,256.572
2014-3,254.31934285714283
2014-4,252.0666857142857
2014-5,249.81402857142854
2014-6,247.56137142857142
2014-7,245.3087142857143
2014-8,243.05605714285713
2014-9,240.8034
2014-10,238.55074285714284
2014-11,236.29808571428572
2014-12,234.04542857142854
2015-1,231.79277142857143
2015-2,229.54011428571425
2015-3,227.28745714285714
2015-4,225.03480000000002
2015-5,222.78214285714284
2015-6,220.52948571428573
2015-7,218.27682857142855
2015-8,216.02417142857144
2015-9,213.77151428571426
2015-10,211.51885714285714
2015-11,209.26619999999997
2015-12,207.01354285714285
2016-1,204.76088571428573
2016-2,202.50822857142856
2016-3,200.25557142857144
2016-4,198.00291428571427
2016-5,195.75025714285715
2016-6,193.49759999999998
2016-7,191.24494285714286
2016-8,188.99228571428569
2016-9,186.73962857142857
2016-10,184.48697142857145
2016-11,182.23431428571428
2016-12,179.98165714285716
2017-1,177.729
2017-2,143.388
2017-3,188.227
2017-4,143.049
2017-5,148.068
2017-6,133.872
2017-7,131.464
2017-8,151.37
2017-9,154.276
2017-10,153.331
2017-11,152.6
2017-12,136.567
2018-1,144.855
2018-2,126.352
2018-3,138.148
2018-4,129.978
2018-5,109.083
2018-6,147.44
2018-7,132.5
2018-8,158.533
2018-9,133.813
2018-10,155.827
2018-11,146.197
2018-12,122.278
2019-1,149.983
2019-2,123.483
2019-3,125.104
2019-4,129.633
2019-5,138.233
2019-6,109.657
2019-7,128.809
2019-8,140.408
2019-9,134.634
2019-10,189.04
2019-11,166.406
2019-12,155.456
2020-1,170.399
2020-2,152.366
2020-3,131.258
2020-4,125.663
2020-5,148.188
2020-6,180.61
2020-7,188.624
2020-8,192.689
2020-9,195.797
2020-10,204.539
2020-11,165.377
2020-12,163.324
2021-1,175.331
2021-2,163.195
2021-3,185.966
2021-4,159.587
2021-5,152.682
2021-6,161.977
2021-7,169.304
2021-8,161.275
2021-9,181.031
2021-10,171.198
2021-11,171.394
2021-12,169.471
2022-1,153.579
2022-2,164.781
2022-3,189.26
2022-4,156.984
2022-5,166.382
2022-6,129.335
2022-7,144.87
2022-8,164.137
2022-9,168.356
2022-10,172.421
2022-11,165.411
2022-12,165.411
