,Maranhão - Consumo de Cimento (t)
2003-1,43.342
2003-2,28.663
2003-3,27.9
2003-4,25.739
2003-5,30.203
2003-6,37.59
2003-7,42.741
2003-8,42.427
2003-9,42.993
2003-10,51.235
2003-11,47.963
2003-12,49.93
2004-1,42.076
2004-2,30.183
2004-3,40.701
2004-4,39.783
2004-5,38.903
2004-6,46.111
2004-7,49.146
2004-8,39.027
2004-9,48.068
2004-10,46.069
2004-11,50.343
2004-12,60.595
2005-1,56.124
2005-2,39.81
2005-3,44.937
2005-4,41.661
2005-5,47.35
2005-6,50.153
2005-7,53.112
2005-8,51.788
2005-9,46.69
2005-10,45.263
2005-11,44.122
2005-12,58.448
2006-1,60.434
2006-2,46.215
2006-3,47.645
2006-4,34.471
2006-5,48.018
2006-6,51.261
2006-7,55.481
2006-8,67.221
2006-9,66.365
2006-10,67.593
2006-11,72.762
2006-12,76.473
2007-1,66.018
2007-2,46.901
2007-3,58.996
2007-4,47.399
2007-5,60.944
2007-6,67.694
2007-7,75.379
2007-8,81.215
2007-9,73.794
2007-10,81.122
2007-11,77.051
2007-12,80.334
2008-1,76.203
2008-2,62.689
2008-3,59.277
2008-4,66.515
2008-5,75.316
2008-6,73.736
2008-7,90.155
2008-8,92.746
2008-9,94.415
2008-10,92.246
2008-11,90.225
2008-12,89.682
2009-1,87.597
2009-2,65.82
2009-3,73.529
2009-4,60.861
2009-5,74.791
2009-6,92.624
2009-7,112.502
2009-8,108.962
2009-9,122.241
2009-10,105.851
2009-11,109.385
2009-12,109.423
2010-1,104.353
2010-2,95.21
2010-3,106.28
2010-4,90.89
2010-5,103.744
2010-6,114.609
2010-7,129.681
2010-8,120.786
2010-9,122.791
2010-10,127.15
2010-11,122.642
2010-12,140.605
2011-1,94.426
2011-2,104.158
2011-3,79.061
2011-4,95.736
2011-5,86.758
2011-6,97.678
2011-7,106.713
2011-8,117.029
2011-9,114.554
2011-10,115.92
2011-11,123.896
2011-12,146.087
2012-1,112.02
2012-2,101.538
2012-3,120.242
2012-4,87.994
2012-5,115.596
2012-6,136.142
2012-7,130.392
2012-8,142.59
2012-9,127.1
2012-10,163.534
2012-11,140.197
2012-12,151.425
2013-1,141.106
2013-2,98.573
2013-3,102.713
2013-4,134.12
2013-5,110.967
2013-6,128.004
2013-7,152.977
2013-8,139.219
2013-9,138.733
2013-10,143.257
2013-11,148.12
2013-12,125.336
2014-1,130.997
2014-2,109.753
2014-3,109.11902857142859
2014-4,108.48505714285716
2014-5,107.85108571428573
2014-6,107.2171142857143
2014-7,106.58314285714286
2014-8,105.94917142857143
2014-9,105.3152
2014-10,104.68122857142858
2014-11,104.04725714285715
2014-12,103.41328571428572
2015-1,102.77931428571429
2015-2,102.14534285714286
2015-3,101.51137142857144
2015-4,100.87740000000001
2015-5,100.24342857142858
2015-6,99.60945714285715
2015-7,98.97548571428572
2015-8,98.3415142857143
2015-9,97.70754285714287
2015-10,97.07357142857144
2015-11,96.43960000000001
2015-12,95.80562857142858
2016-1,95.17165714285714
2016-2,94.53768571428571
2016-3,93.90371428571429
2016-4,93.26974285714286
2016-5,92.63577142857143
2016-6,92.0018
2016-7,91.36782857142857
2016-8,90.73385714285715
2016-9,90.09988571428572
2016-10,89.46591428571429
2016-11,88.83194285714286
2016-12,88.19797142857144
2017-1,87.564
2017-2,66.661
2017-3,78.801
2017-4,67.256
2017-5,84.28
2017-6,86.501
2017-7,88.78
2017-8,86.195
2017-9,84.121
2017-10,88.187
2017-11,79.514
2017-12,74.061
2018-1,64.818
2018-2,44.254
2018-3,52.169
2018-4,53.399
2018-5,45.364
2018-6,67.103
2018-7,61.062
2018-8,73.445
2018-9,69.471
2018-10,83.004
2018-11,77.332
2018-12,58.591
2019-1,70.66
2019-2,50.796
2019-3,47.834
2019-4,45.327
2019-5,54.032
2019-6,60.657
2019-7,67.25
2019-8,70.773
2019-9,67.01
2019-10,81.128
2019-11,81.737
2019-12,76.841
2020-1,70.502
2020-2,58.174
2020-3,51.253
2020-4,55.659
2020-5,79.011
2020-6,100.399
2020-7,110.434
2020-8,108.451
2020-9,107.233
2020-10,113.345
2020-11,94.561
2020-12,89.227
2021-1,82.674
2021-2,69.076
2021-3,72.303
2021-4,75.399
2021-5,89.958
2021-6,87.816
2021-7,100.404
2021-8,98.719
2021-9,94.675
2021-10,95.575
2021-11,102.533
2021-12,89.997
2022-1,71.985
2022-2,84.233
2022-3,85.441
2022-4,77.179
2022-5,84.668
2022-6,93.262
2022-7,96.068
2022-8,102.698
2022-9,98.133
2022-10,94.964
2022-11,97.684
2022-12,97.684
