Ano,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s)
2008,36.64562057196417,1000.6628490275951,1257.613003367859,26.13296146042687,22.070496396087986,80.67083775960707,1.3214467507564005
2009,33.687787199433934,1000.5393251069804,1336.3326452999515,26.38950797346834,21.933676249625282,79.0311782327626,1.2505816737336255
2010,31.96143552249545,1000.5521760902334,1343.3779442354935,26.284965896524756,21.81289535187072,78.85853641455714,1.335343575896049
2011,31.660272586183666,998.6791315252794,1315.7815288964832,26.12646859341989,21.89203453355771,79.74979502649468,1.4139191395359745
2012,31.70792694203891,990.5330262757983,1324.0176972212644,26.09128218890179,21.92498539836751,80.00478106204358,1.485511649666105
2013,32.529574142956136,985.8213962202291,1303.0406219931306,26.29315588651637,22.172971869053992,80.05689350951104,1.4964239392471281
2014,32.95842318386119,988.9721512970506,1308.9253538251514,26.593333759104983,22.311497364820088,79.43597970201718,1.3996117024963528
2015,32.78496444368274,991.7490823900199,1330.3027215504223,26.651522908922534,22.114977201997302,78.57241241651843,1.3767238996174924
2016,33.48276329541208,993.8305830938003,1336.5627159033331,26.64476832153484,21.87554439965047,77.7214834100178,1.4146327617880308
2017,34.442661583865224,996.2537100590544,1335.1780101438114,26.64279247094636,21.750098372759386,77.15960400911378,1.3675768037185774
2018,32.80744764778183,998.0488445786162,1333.0446879877925,26.52128269710254,21.691744389693877,77.22015085265136,1.2080700535927449
2019,30.097925125356795,998.3477464313302,1337.763365279117,26.458190982714502,21.640036867262385,77.14769178011181,1.1128224771433628
2020,35.181366141032925,998.6859663717528,1368.898603819307,26.35828452681365,21.795966535532827,78.63118202597177,1.3476471106046262
2021,38.44290699965944,1000.1029980394828,1414.7859805962623,26.269261978028908,21.88911435067701,81.41313972684846,1.7377764586075604
2022,35.27878660806901,1000.754751154524,1389.074487638403,26.56643006976462,21.345942387425215,81.66189507542273,1.679473397281372
